Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
F8WD26,4008,,,"actinin binding;
metal ion binding;
protein C-terminus binding",,"cell-cell adhesion;
positive regulation of transcription by RNA polymerase II;
regulation of cell adhesion;
regulation of signaling",,"Nucleus;
Plasma Membrane;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8WEU7,,,,glutaminase activity,,glutamine metabolic process,,,,,,"Complete proteome;
Reference proteome",
G3V1P5,51586,,,RNA polymerase II transcription cofactor activity,Activator,"transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V1Q5,162333,,,zinc ion binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V236,,,,,,"eye photoreceptor cell development;
visual perception",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V2G1,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V2G2,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V2J9,,,,ATP binding,,cellular protein modification process,,"Cytosol;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V3R7,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V3T6,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V3U6,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V4R8,,,,,,,,"Cytosol;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V4Y7,,,,kinesin binding,,microtubule-based movement,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V577,,,,,,"eye photoreceptor cell development;
visual perception",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G3V599,,,,,,,,Other locations,,,,"Complete proteome;
Reference proteome",
G5E963,9911,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G5EA06,23107,,,,"Ribonucleoprotein;
Ribosomal protein",,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
G5EA30,10658,,,"RNA binding;
translation initiation factor binding",RNA-binding,"mRNA splice site selection;
positive regulation of multicellular organism growth;
spermatid development",,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y2M0,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y2R3,,,,DNA binding,,chromatin remodeling,,"Cytosol;
Nucleus",Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y2R6,,,,nucleic acid binding,,"regulation of transcription, DNA-templated",,Other locations,,,,"Complete proteome;
Reference proteome",
H0Y2W2,,,,ATP binding,,,,Mitochondrion,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y2X5,220,,,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",Oxidoreductase,,,"Cytosol;
Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y2Y8,,,,metal ion binding,,,,"Cytosol;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y362,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y390,,,,"calcium ion binding;
microtubule binding",,,,Cytoskeleton,"Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y3K4,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y424,,,,,,"regulation of cell adhesion;
regulation of signaling",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y474,,,,"ATPase activity, coupled to transmembrane movement of substances",,proton transmembrane transport,"Hydrogen ion transport;
Ion transport;
Transport",Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y488,,,,DNA binding,,chromatin remodeling,,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y493,,,,,,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y4E8,,,,"ATP binding;
protein serine/threonine kinase activity",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y4R4,,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y5D5,,,,"nucleic acid binding;
zinc ion binding",,,,"Nucleus;
Plasma Membrane",Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y5I7,,,,,,,,Cytoskeleton,,,,"Complete proteome;
Reference proteome",
H0Y623,,,,RNA binding,RNA-binding,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y638,,,,,,"regulation of GTPase activity;
signal transduction",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y6K5,,,,"DNA binding transcription factor activity;
proximal promoter sequence-specific DNA binding",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y6Y0,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y720,,,,nucleic acid binding,,miRNA mediated inhibition of translation,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y765,,,,"histone methyltransferase activity (H3-K4 specific);
metal ion binding","Methyltransferase;
Transferase",,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y7H8,,,,DNA binding,,chromatin remodeling,,"Cytosol;
Nucleus;
Plasma Membrane",Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y7J9,,,,,,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y7L6,,,,"DNA binding transcription factor activity;
proximal promoter sequence-specific DNA binding",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y7M0,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y7R3,,,,"ATP binding;
protein serine/threonine kinase activity",,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y7T5,,,,"ATP binding;
protein serine/threonine kinase activity",,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y7V5,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y7Z4,,,,DNA binding,,"regulation of transcription, DNA-templated",,Nucleus,,,,"Complete proteome;
Reference proteome",
H0Y803,,,,,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y865,,,,DNA binding transcription factor activity,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y867,,,,,,,,Golgi apparatus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y882,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,,,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y8P2,,,,nucleic acid binding,,,,,,,,"Complete proteome;
Reference proteome",
H0Y8V7,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y8W8,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y904,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y920,,,,,,,,,,,,"Complete proteome;
Reference proteome",
H0Y961,,,,GTP binding,,,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y9G8,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0Y9P1,,,,,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YAB3,,,,,,,,"Cytosol;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YAD4,,,,nucleic acid binding,,,,,,,,"Complete proteome;
Reference proteome",
H0YB49,,,,mechanosensitive ion channel activity,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YBB6,,,,"ligand-dependent nuclear receptor transcription coactivator activity;
nuclear hormone receptor binding",,"regulation of transcription, DNA-templated",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YBC8,,,,"beta-catenin binding;
DNA binding",DNA-binding,"canonical Wnt signaling pathway;
regulation of transcription by RNA polymerase II;
T cell receptor V(D)J recombination",,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YBG5,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YBS0,,,,,,signal transduction,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YBV3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YCE3,,,,proton transmembrane transporter activity,,ATP hydrolysis coupled proton transport,"Hydrogen ion transport;
Ion transport;
Transport",Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YCS3,,,,,,"regulation of transcription, DNA-templated",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YDE2,,,,,,,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YDJ4,,,,,,microtubule anchoring at centrosome,,"Cytoskeleton;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YDK8,,,,RNA binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YDM2,,,,,,regulation of autophagy,,Extracellular region or secreted,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YDN1,,,,cytoskeletal protein binding,,,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YDP6,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YDQ3,,,,,,"regulation of cell adhesion;
regulation of signaling",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YDQ5,,,,sequence-specific DNA binding,,"regulation of transcription, DNA-templated",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YEH2,,,,RNA binding,,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YEL0,,,,,,"spliceosomal complex assembly;
spliceosomal snRNP assembly",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YET8,,,,,,"regulation of transcription, DNA-templated",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YEZ9,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YF09,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YFY6,,,,,,,,"Golgi apparatus;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YG27,,,,,,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YGK7,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YGV0,,,,,,,,Other locations,,,,"Complete proteome;
Reference proteome",
H0YH79,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YH87,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YHX7,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YI12,,,,phosphatase activity,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YIR4,,,,tubulin binding,,"cilium assembly;
intraciliary transport",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YJ97,,,,,,,,"Golgi apparatus;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YJV5,,,,kinesin binding,,microtubule-based movement,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YK27,,,,"DNA binding;
DNA binding transcription factor activity",DNA-binding,"multicellular organism development;
transcription by RNA polymerase II",Transcription,Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
H0YKH5,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YLI3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YLQ3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YM23,,,,RNA binding,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H0YMR0,,,,,,,,Golgi apparatus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H3BM60,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H3BMH7,,,,,,,,,,,,"Complete proteome;
Reference proteome",
H3BPE1,,,,"actin binding;
calcium ion binding;
microtubule binding",Actin-binding,,,Cytoskeleton,"Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Proteomics identification;
Reference proteome",
H3BQK9,,,,"actin binding;
calcium ion binding;
microtubule binding",Actin-binding,,,Cytoskeleton,"Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Proteomics identification;
Reference proteome",
H3BRN2,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H3BSE0,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H3BSM9,,,,nucleic acid binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H3BTQ1,,,,,,miRNA mediated inhibition of translation,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BXG7,,,,,,,,"Cytosol;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BXU4,10332,,,carbohydrate binding,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BY04,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BY37,,,,"histone methyltransferase activity (H3-K4 specific);
metal ion binding",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BY63,79632,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BYJ9,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BZ55,,,,,,,,,,,,"Complete proteome;
Reference proteome",
H7BZ76,,,,calcium ion binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BZK0,,,,,,muscle contraction,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BZV2,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BZV6,,,,protein-containing complex scaffold activity,,signal transduction,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7BZW9,,,,,,muscle contraction,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C066,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C080,,,,,,,,,,,,"Complete proteome;
Reference proteome",
H7C0E9,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C0G7,,,,,,double-strand break repair,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C0P0,,,,,,,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C1C4,,,,,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C1I2,,,,neurotransmitter:sodium symporter activity,,,"Symport;
Transport",Other locations,,,,"Complete proteome;
Reference proteome",
H7C1L2,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C1L3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C1T1,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C269,,,,nucleic acid binding,,miRNA mediated inhibition of translation,,"Golgi apparatus;
Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C2W2,,,,ATP binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C2Y0,,,,GTP binding,,"cell cycle;
cell division",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C308,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
H7C3I0,,,,"DNA binding;
DNA binding transcription factor activity",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
